date,fund,return
2022-08-24,Equity Equal Weight,0.0023559
2022-08-25,Equity Equal Weight,0.01385521
2022-08-26,Equity Equal Weight,-0.02769035
2022-08-29,Equity Equal Weight,-0.00381473
2022-08-30,Equity Equal Weight,-0.01336454
2022-08-31,Equity Equal Weight,-0.00734665
2022-09-01,Equity Equal Weight,-0.00068776
2022-09-02,Equity Equal Weight,-0.00952345
2022-09-06,Equity Equal Weight,-0.00396084
2022-09-07,Equity Equal Weight,0.01591257
2022-09-08,Equity Equal Weight,0.00606654
2022-09-09,Equity Equal Weight,0.01464306
2022-09-12,Equity Equal Weight,0.00848482
2022-09-13,Equity Equal Weight,-0.04004931
2022-09-14,Equity Equal Weight,0.00313186
2022-09-15,Equity Equal Weight,-0.01617154
2022-09-16,Equity Equal Weight,-0.00724714
2022-09-19,Equity Equal Weight,0.00623659
2022-09-20,Equity Equal Weight,-0.01557245
2022-09-21,Equity Equal Weight,-0.01695516
2022-09-22,Equity Equal Weight,-0.00926574
2022-09-23,Equity Equal Weight,-0.02221842
2022-09-26,Equity Equal Weight,-0.01606269
2022-09-27,Equity Equal Weight,-0.00366579
2022-09-28,Equity Equal Weight,0.02130072
2022-09-29,Equity Equal Weight,-0.01986572
2022-09-30,Equity Equal Weight,-0.01486629
2022-10-03,Equity Equal Weight,0.03218478
2022-10-04,Equity Equal Weight,0.02965211
2022-10-05,Equity Equal Weight,-0.00323659
2022-10-06,Equity Equal Weight,-0.01145048
2022-10-07,Equity Equal Weight,-0.02349632
2022-10-10,Equity Equal Weight,-0.00569793
2022-10-11,Equity Equal Weight,-0.0033305
2022-10-12,Equity Equal Weight,-0.00562266
2022-10-13,Equity Equal Weight,0.02967842
2022-10-14,Equity Equal Weight,-0.01841214
2022-10-17,Equity Equal Weight,0.0200606
2022-10-18,Equity Equal Weight,0.01194586
2022-10-19,Equity Equal Weight,-0.00776157
2022-10-20,Equity Equal Weight,-0.00416084
2022-10-21,Equity Equal Weight,0.02375713
2022-10-24,Equity Equal Weight,0.00812546
2022-10-25,Equity Equal Weight,0.01680247
2022-10-26,Equity Equal Weight,0.00496288
2022-10-27,Equity Equal Weight,-0.00014844
2022-10-28,Equity Equal Weight,0.02428405
2022-10-31,Equity Equal Weight,-0.0075744
2022-11-01,Equity Equal Weight,0.00238242
2022-11-02,Equity Equal Weight,-0.01718405
2022-11-03,Equity Equal Weight,-0.00243722
2022-11-04,Equity Equal Weight,0.0185826
2022-11-07,Equity Equal Weight,0.00764461
2022-11-08,Equity Equal Weight,0.00691434
2022-11-09,Equity Equal Weight,-0.02140737
2022-11-10,Equity Equal Weight,0.04956445
2022-11-11,Equity Equal Weight,0.01166835
2022-11-14,Equity Equal Weight,-0.00878483
2022-11-15,Equity Equal Weight,0.00976866
2022-11-16,Equity Equal Weight,-0.01035134
2022-11-17,Equity Equal Weight,-0.00230315
2022-11-18,Equity Equal Weight,0.00504318
2022-11-21,Equity Equal Weight,0.00082254
2022-11-22,Equity Equal Weight,0.01480286
2022-11-23,Equity Equal Weight,0.00338616
2022-11-25,Equity Equal Weight,0.00074219
2022-11-28,Equity Equal Weight,-0.01842083
2022-11-29,Equity Equal Weight,0.00419971
2022-11-30,Equity Equal Weight,0.02379423
2022-12-01,Equity Equal Weight,-0.00026709
2022-12-02,Equity Equal Weight,0.00150158
2022-12-05,Equity Equal Weight,-0.01722321
2022-12-06,Equity Equal Weight,-0.01234791
2022-12-07,Equity Equal Weight,-0.00118257
2022-12-08,Equity Equal Weight,0.00709069
2022-12-09,Equity Equal Weight,-0.01023017
2022-12-12,Equity Equal Weight,0.01662403
2022-12-13,Equity Equal Weight,0.00876963
2022-12-14,Equity Equal Weight,-0.00879365
2022-12-15,Equity Equal Weight,-0.02158507
2022-12-16,Equity Equal Weight,-0.00949949
2022-12-19,Equity Equal Weight,-0.00669459
2022-12-20,Equity Equal Weight,0.00317926
2022-12-21,Equity Equal Weight,0.01783013
2022-12-22,Equity Equal Weight,-0.01158226
2022-12-23,Equity Equal Weight,0.00775003
2022-12-27,Equity Equal Weight,0.00026555
2022-12-28,Equity Equal Weight,-0.01280803
2022-12-29,Equity Equal Weight,0.01359936
2022-12-30,Equity Equal Weight,-0.00188178
2023-01-03,Equity Equal Weight,0.00225091
2023-01-04,Equity Equal Weight,0.01842818
2023-01-05,Equity Equal Weight,-0.00679764
2023-01-06,Equity Equal Weight,0.02324946
2023-01-09,Equity Equal Weight,0.00017209
2023-01-10,Equity Equal Weight,0.0076166
2023-01-11,Equity Equal Weight,0.00985385
2023-01-12,Equity Equal Weight,0.00703776
2023-01-13,Equity Equal Weight,0.00343115
2023-01-17,Equity Equal Weight,-0.00405222
2023-01-18,Equity Equal Weight,-0.01596551
2023-01-19,Equity Equal Weight,-0.0074762
2023-01-20,Equity Equal Weight,0.01531291
2023-01-23,Equity Equal Weight,0.01143571
2023-01-24,Equity Equal Weight,-0.00288342
2023-01-25,Equity Equal Weight,0.00184869
2023-01-26,Equity Equal Weight,0.00842206
2023-01-27,Equity Equal Weight,-0.00120648
2023-01-30,Equity Equal Weight,-0.01014424
2023-01-31,Equity Equal Weight,0.0119228
2023-02-01,Equity Equal Weight,0.00651828
2023-02-02,Equity Equal Weight,0.00015705
2023-02-03,Equity Equal Weight,-0.01276835
2023-02-06,Equity Equal Weight,-0.00459498
2023-02-07,Equity Equal Weight,0.01095346
2023-02-08,Equity Equal Weight,-0.00956499
2023-02-09,Equity Equal Weight,-0.00969477
2023-02-10,Equity Equal Weight,0.00760193
