trade_date,ticker,sector,sentiment,n_headlines
2022-02-03,CMCSA,Comm,0.28375,4
2022-02-03,COP,Energy,0.21445,8
2022-02-03,CVX,Energy,0.04258333333333331,6
2022-02-03,D,Utilities,0.5719,1
2022-02-03,DIS,Consumer,0.5326,2
2022-02-03,DOW,Materials,0.0,1
2022-02-03,DUK,Utilities,0.29695,2
2022-02-03,EA,Comm,-0.06745000000000001,2
2022-02-03,GE,Industrials,0.3818,1
2022-02-03,GILD,Healthcare,0.5719,1
2022-02-03,GS,Financials,0.007949999999999999,6
2022-02-03,INTC,Tech,0.1351,9
2022-02-03,KO,Consumer,-0.296,1
2022-02-03,MMM,Industrials,0.743,1
2022-02-03,MRK,Healthcare,0.251225,12
2022-02-03,MS,Financials,0.0,1
2022-02-03,NEE,Utilities,0.42255,2
2022-02-03,NKE,Consumer,-0.030666666666666658,3
2022-02-03,NUE,Materials,0.0,1
2022-02-03,NVDA,Tech,0.2331,10
2022-02-03,OXY,Energy,0.08689999999999999,4
2022-02-03,PLD,RealEstate,0.0,1
2022-02-03,PSA,RealEstate,0.273,2
2022-02-03,QCOM,Tech,0.45345714285714284,7
2022-02-03,SBUX,Consumer,0.13777499999999998,4
2022-02-03,SHW,Materials,-0.4404,1
2022-02-03,SLB,Energy,0.296,1
2022-02-03,SO,Utilities,0.296,1
2022-02-03,T,Comm,-0.07279999999999999,3
2022-02-03,TMUS,Comm,0.17971428571428572,14
2022-02-03,TTWO,Comm,0.5994,1
2022-02-03,UPS,Industrials,0.45367999999999997,5
2022-02-03,USB,Financials,0.5734,2
2022-02-03,V,Financials,0.3548,2
2022-02-03,WFC,Financials,0.3818,1
2022-02-03,WMT,Consumer,0.4939,1
2022-02-03,XOM,Energy,-0.0669888888888889,9
2022-02-04,ABBV,Healthcare,0.1244,3
2022-02-04,ABT,Healthcare,0.09545000000000003,2
2022-02-04,ADBE,Tech,0.0,1
2022-02-04,AMD,Tech,0.17966666666666664,6
2022-02-04,AMGN,Healthcare,-0.3612,1
2022-02-04,AMT,RealEstate,0.0,1
2022-02-04,BA,Industrials,0.17985,2
2022-02-04,CMCSA,Comm,0.0335,2
2022-02-04,COP,Energy,0.0,1
2022-02-04,CVX,Energy,0.25485,4
2022-02-04,D,Utilities,0.546,4
2022-02-04,DIS,Consumer,0.19516666666666663,6
2022-02-04,DUK,Utilities,0.5981333333333333,3
2022-02-04,EA,Comm,0.0,1
2022-02-04,GE,Industrials,0.6249,1
2022-02-04,GILD,Healthcare,0.0516,1
2022-02-04,GS,Financials,0.003766666666666659,6
2022-02-04,KO,Consumer,-0.0516,1
2022-02-04,MRK,Healthcare,0.06866666666666667,3
2022-02-04,MS,Financials,0.2451714285714286,7
2022-02-04,NEE,Utilities,0.32645,2
2022-02-04,NKE,Consumer,0.1909,2
2022-02-04,NUE,Materials,0.0,2
2022-02-04,NVDA,Tech,0.13666666666666666,9
2022-02-04,OXY,Energy,0.0344,3
2022-02-04,QCOM,Tech,-0.04844999999999999,2
2022-02-04,SBUX,Consumer,0.3080333333333333,3
2022-02-04,SHW,Materials,0.2997,2
2022-02-04,SLB,Energy,0.6369,1
2022-02-04,SO,Utilities,0.296,1
2022-02-04,T,Comm,0.20706000000000002,5
2022-02-04,TMUS,Comm,-0.03523333333333333,3
2022-02-04,TTWO,Comm,0.0129,2
2022-02-04,UPS,Industrials,0.5104500000000001,2
2022-02-04,V,Financials,0.0,1
2022-02-04,WFC,Financials,0.2237,3
2022-02-04,WMT,Consumer,0.3179,3
2022-02-04,XOM,Energy,0.2997,2
2022-02-07,ABBV,Healthcare,0.2568714285714286,7
2022-02-07,ABT,Healthcare,0.7783,1
2022-02-07,ADBE,Tech,0.0,2
2022-02-07,AEP,Utilities,0.0,1
2022-02-07,AMD,Tech,0.25981666666666664,6
2022-02-07,AMGN,Healthcare,0.20362222222222223,9
2022-02-07,AMT,RealEstate,0.0,2
2022-02-07,BA,Industrials,0.5932,2
2022-02-07,CAT,Industrials,0.50335,2
2022-02-07,CCI,RealEstate,0.3818,1
2022-02-07,CMCSA,Comm,0.36755,2
2022-02-07,COP,Energy,0.124875,4
2022-02-07,CVX,Energy,0.09847142857142857,7
2022-02-07,D,Utilities,0.30926666666666675,3
2022-02-07,DD,Materials,0.0772,2
2022-02-07,DIS,Consumer,0.07320666666666667,15
2022-02-07,DUK,Utilities,0.2202,2
2022-02-07,EA,Comm,-0.0086,3
2022-02-07,GS,Financials,0.03371666666666667,6
2022-02-07,INTC,Tech,0.50565,4
2022-02-07,KO,Consumer,0.12102500000000001,8
2022-02-07,MMM,Industrials,0.6597,1
2022-02-07,MRK,Healthcare,0.1337,4
